Galaxy,Filter,z,t_L (Gyr),λ rf (μm),μ (deg),Δμ (deg),l_ψ (deg),l_ψ err,Luminosity fraction,w (kpc),w err,r_end (kpc),r_end err,h_s (kpc),h_s err,W_i,S,S err
g180,F814W,0.38,4.12,0.584,13.7,-16.8,225.6,2.5,0.106,1.744,0.044,7.693,0.118,2.129,0.043,0.37,-0.5,0.0
g180,F814W,0.38,4.12,0.584,17.3,-38.1,185.8,4.5,0.102,2.797,0.0,6.565,0.258,3.475,0.099,0.6,-0.29,0.07
g114,F814W,0.381,4.13,0.584,18.9,-12.4,229.7,1.8,0.211,2.52,0.094,9.812,0.201,2.587,0.054,1.04,-0.32,0.05
g114,F814W,0.381,4.13,0.584,23.0,-3.6,237.5,1.8,0.201,2.474,0.0,15.227,0.322,2.879,0.053,0.5,-0.5,0.0
g4,F814W,0.381,4.13,0.584,11.5,-24.2,225.2,4.0,0.065,1.239,0.101,5.197,0.0,1.97,0.149,16.71,-0.46,0.11
g4,F814W,0.381,4.13,0.584,19.6,-6.9,166.5,2.2,0.108,3.008,0.13,9.377,0.345,2.99,0.084,1.62,-0.5,0.0
g4,F814W,0.381,4.13,0.584,14.6,-1.3,257.4,3.5,0.143,2.992,0.085,8.36,0.284,12.238,2.087,2.13,0.32,0.04
g4,F814W,0.381,4.13,0.584,23.1,4.7,156.9,1.9,0.094,2.236,0.098,16.233,0.0,1.698,0.035,0.5,0.19,0.06
g145,F814W,0.383,4.14,0.583,11.8,2.1,323.9,1.8,0.119,1.519,0.075,12.722,0.163,23.612,3.566,19.12,-0.5,0.0
g145,F814W,0.383,4.14,0.583,5.0,9.6,286.5,0.0,0.152,3.198,0.064,14.9,0.0,2.215,0.05,0.42,0.5,0.0
g145,F814W,0.383,4.14,0.583,26.6,16.8,134.5,3.6,0.048,1.438,0.082,17.392,0.541,10.871,1.635,13.14,-0.15,0.05
g85,F814W,0.387,4.18,0.581,13.5,3.2,158.5,4.0,0.111,2.815,0.0,8.892,0.654,5.874,0.629,0.59,0.2,0.1
g85,F814W,0.387,4.18,0.581,28.5,-1.8,87.8,4.2,0.031,1.267,0.112,9.768,0.0,2.72,0.255,1.59,0.35,0.15
g85,F814W,0.387,4.18,0.581,16.7,-2.3,227.4,4.5,0.06,0.93,0.089,5.521,0.0,26.889,23.836,10.78,-0.35,0.18
g85,F814W,0.387,4.18,0.581,14.4,3.9,273.0,2.2,0.109,1.709,0.076,9.474,0.0,3.006,0.137,9.78,0.21,0.11
g113,F814W,0.407,4.34,0.573,12.2,7.6,199.3,2.2,0.172,3.393,0.077,11.748,0.191,2.529,0.059,2.47,0.5,0.0
g134,F814W,0.408,4.35,0.572,18.1,-4.1,213.1,10.5,0.052,0.952,0.215,9.956,0.22,21.21,10.123,1.34,-0.03,0.32
g134,F814W,0.408,4.35,0.572,33.4,23.1,187.8,6.6,0.079,1.232,0.106,19.766,0.0,6.926,0.447,3.45,0.5,0.0
g134,F814W,0.408,4.35,0.572,13.1,10.5,258.4,2.7,0.106,1.11,0.072,11.997,0.0,21.213,7.75,7.67,-0.2,0.06
g43,F814W,0.424,4.47,0.566,26.4,-34.4,180.7,4.4,0.091,1.532,0.044,10.689,0.21,6.934,0.391,2.8,-0.02,0.03
g43,F814W,0.424,4.47,0.566,6.3,-13.7,175.4,3.8,0.083,3.492,0.0,8.377,0.383,3.064,0.135,0.47,-0.32,0.02
g43,F814W,0.424,4.47,0.566,26.7,-19.9,114.3,0.9,0.066,1.744,0.089,8.83,0.567,4.699,0.298,1.96,0.17,0.06
g112,F814W,0.431,4.53,0.563,43.6,-21.3,137.6,13.1,0.056,3.22,0.344,14.626,0.0,44.968,0.0,1.0,0.0,0.0
g112,F814W,0.431,4.53,0.563,25.0,-34.8,136.8,6.2,0.041,2.039,0.121,10.056,1.01,5.151,0.335,1.0,0.0,0.0
g112,F814W,0.431,4.53,0.563,17.7,-4.9,298.6,2.0,0.123,3.174,0.054,14.061,0.0,11.515,0.741,1.0,0.0,0.0
g87,F814W,0.431,4.53,0.563,2.7,-2.2,347.7,3.7,0.182,2.681,0.08,5.668,0.166,12.118,2.774,1.84,0.02,0.06
g87,F814W,0.431,4.53,0.563,27.6,16.6,111.4,1.7,0.063,0.935,0.074,10.553,0.169,17.063,5.372,3.28,-0.05,0.07
g82,F814W,0.444,4.63,0.558,6.3,-0.8,185.4,1.3,0.022,2.435,0.141,11.984,0.664,5.544,0.762,0.45,-0.48,0.4
g82,F814W,0.444,4.63,0.558,5.0,9.1,137.8,7.6,0.016,1.915,0.16,12.841,0.0,2.599,0.814,2.72,0.5,0.0
g178,F814W,0.446,4.64,0.557,17.6,-2.3,385.9,1.4,0.204,1.139,0.12,8.054,0.29,5.481,0.297,7.31,0.22,0.14
g178,F814W,0.446,4.64,0.557,21.1,3.6,224.4,4.8,0.133,1.962,0.146,6.452,0.52,3.164,0.182,3.55,0.35,0.25
g51,F814W,0.462,4.76,0.551,19.0,-6.6,212.4,9.9,0.142,1.588,0.124,8.907,0.32,8.405,1.303,3.12,0.32,0.09
g51,F814W,0.462,4.76,0.551,13.4,-5.4,147.4,5.5,0.068,1.456,0.088,6.434,0.298,1.918,0.412,0.64,-0.26,0.25
g138,F814W,0.466,4.79,0.55,12.4,-5.5,321.7,1.3,0.157,5.161,0.084,17.514,0.618,59.721,0.0,1.0,0.0,0.0
g138,F814W,0.466,4.79,0.55,16.8,-22.3,270.3,0.0,0.141,5.151,0.093,12.955,0.618,13.058,0.825,1.0,0.0,0.0
g163,F814W,0.478,4.88,0.545,15.8,-14.9,200.7,2.3,0.095,3.63,0.107,15.99,0.307,4.606,0.077,1.9,-0.3,0.03
g163,F814W,0.478,4.88,0.545,8.6,-13.7,199.3,1.9,0.102,5.508,0.0,13.661,0.218,3.023,0.19,0.7,-0.43,0.03
g167,F814W,0.48,4.9,0.545,13.5,-1.6,380.8,3.4,0.24,2.285,0.078,12.997,0.0,3.838,0.096,2.11,0.15,0.05
g167,F814W,0.48,4.9,0.545,14.3,3.7,276.6,6.5,0.104,1.662,0.099,10.24,0.255,26.175,9.935,0.69,0.03,0.28
g167,F814W,0.48,4.9,0.545,16.5,-31.4,85.8,3.3,0.057,2.696,0.163,7.013,0.0,9.174,4.226,3.69,0.5,0.0
g35,F814W,0.491,4.98,0.541,24.7,2.8,229.1,4.0,0.145,2.48,0.163,12.737,0.308,36.278,10.449,2.13,0.5,0.0
g35,F814W,0.491,4.98,0.541,4.4,10.6,179.0,1.9,0.11,2.286,0.127,10.2,0.173,39.083,0.0,0.48,0.02,0.09
g119,F814W,0.494,5.0,0.54,16.7,-6.2,212.6,4.1,0.123,2.638,0.081,6.652,0.0,3.094,0.155,1.46,0.4,0.06
g119,F814W,0.494,5.0,0.54,15.6,-24.0,231.9,1.8,0.287,3.119,0.0,12.941,0.247,3.539,0.033,4.34,-0.34,0.03
g102,F814W,0.504,5.07,0.536,12.2,-9.5,295.0,1.7,0.121,3.177,0.0,9.707,0.716,6.225,0.451,1.0,0.0,0.0
g102,F814W,0.504,5.07,0.536,4.2,2.4,230.7,4.6,0.087,3.242,0.0,11.424,0.0,32.509,0.0,1.0,0.0,0.0
g173,F814W,0.516,5.15,0.532,28.6,-3.8,124.5,2.7,0.038,1.046,0.139,6.705,0.0,2.128,0.155,10.95,-0.06,0.19
g173,F814W,0.516,5.15,0.532,0.6,0.3,218.2,4.6,0.093,1.42,0.074,4.096,0.279,1.93,0.492,0.82,-0.05,0.12
g62,F814W,0.517,5.16,0.531,12.2,-3.2,285.0,4.0,0.237,2.717,0.0,10.877,0.0,2.196,0.106,1.31,-0.15,0.07
g62,F814W,0.517,5.16,0.531,16.5,-4.6,158.9,5.8,0.098,1.799,0.155,7.924,0.0,2.504,0.228,11.23,-0.42,0.06
g62,F814W,0.517,5.16,0.531,21.1,11.9,92.3,1.7,0.053,2.549,0.235,7.707,1.408,1.477,0.205,0.37,0.39,0.19
g93,F814W,0.521,5.19,0.53,12.1,-2.3,366.7,6.5,0.119,1.1,0.069,12.239,0.2,18.431,4.781,1.8,-0.27,0.08
g93,F814W,0.521,5.19,0.53,7.9,-3.0,311.9,0.0,0.123,2.131,0.096,8.456,0.369,2.938,0.181,4.18,-0.12,0.06
g84,F814W,0.522,5.2,0.53,25.3,-15.7,238.7,2.1,0.148,1.357,0.168,5.36,0.373,13.791,9.907,2.41,0.08,0.23
g84,F814W,0.522,5.2,0.53,23.4,-6.0,242.3,2.2,0.179,1.205,0.135,5.65,0.0,10.862,5.349,1.62,0.33,0.14
g121,F814W,0.53,5.25,0.527,20.4,-6.0,136.6,6.7,0.034,1.464,0.156,11.4,0.663,11.098,2.605,10.77,0.5,0.0
g121,F814W,0.53,5.25,0.527,16.9,2.3,252.2,9.9,0.056,0.779,0.04,5.867,0.0,14.62,6.217,20.09,0.39,0.12
g121,F814W,0.53,5.25,0.527,29.7,-19.0,113.0,4.7,0.088,1.135,0.109,7.765,0.0,14.847,6.104,5.05,-0.23,0.08
g121,F814W,0.53,5.25,0.527,30.0,6.8,149.1,8.5,0.07,2.287,0.225,14.516,0.568,9.242,1.064,1.72,0.5,0.0
g137,F814W,0.53,5.25,0.527,-0.7,-11.6,194.8,2.2,0.067,2.645,0.109,11.585,0.321,20.84,5.339,0.37,-0.27,0.12
g137,F814W,0.53,5.25,0.527,7.5,-2.2,352.8,2.9,0.088,1.856,0.111,8.782,0.506,2.089,0.066,0.49,0.37,0.08
g137,F814W,0.53,5.25,0.527,17.8,4.2,229.9,5.4,0.036,1.264,0.153,9.784,0.561,4.476,0.453,2.88,-0.04,0.14
g181,F814W,0.54,5.32,0.523,21.6,-17.8,282.8,7.7,0.204,2.017,0.0,7.499,0.236,2.061,0.058,0.45,-0.32,0.1
g181,F814W,0.54,5.32,0.523,15.7,-14.3,438.6,5.3,0.227,2.089,0.0,8.282,0.378,2.649,0.045,0.37,0.5,0.0
g181,F814W,0.54,5.32,0.523,24.5,-16.1,207.4,8.0,0.13,1.955,0.157,3.672,0.262,9.934,3.957,0.52,-0.47,0.05
g136,F814W,0.571,5.52,0.513,19.0,-5.9,204.4,6.7,0.098,0.856,0.103,5.018,0.237,19.116,0.0,3.63,-0.35,0.11
g136,F814W,0.571,5.52,0.513,25.0,-7.3,118.5,3.7,0.067,0.722,0.148,5.776,0.583,1.519,0.176,5.66,-0.12,0.56
g154,F814W,0.599,5.7,0.504,24.0,-7.4,223.3,13.5,0.125,1.908,0.114,10.991,0.0,10.821,1.591,2.88,0.35,0.16
g154,F814W,0.599,5.7,0.504,16.0,-5.6,164.8,1.4,0.13,2.392,0.107,11.395,0.222,2.659,0.144,0.46,-0.5,0.0
g71,F814W,0.607,5.75,0.502,15.5,-27.1,257.1,1.7,0.134,3.12,0.078,10.293,0.694,3.255,0.058,1.0,0.0,0.0
g71,F814W,0.607,5.75,0.502,11.0,-22.5,241.4,4.3,0.173,3.449,0.0,7.853,0.214,9.7,0.731,1.0,0.0,0.0
g135,F814W,0.666,6.11,0.484,9.5,-10.9,230.2,3.3,0.154,2.301,0.129,9.12,0.297,3.994,0.348,3.01,-0.45,0.05
g135,F814W,0.666,6.11,0.484,17.0,1.6,319.4,4.5,0.155,1.545,0.09,13.252,0.0,6.758,0.616,2.51,0.5,0.0
g63,F814W,0.683,6.2,0.479,19.8,-12.5,183.6,3.6,0.126,4.311,0.0,17.183,0.0,3.305,0.209,2.79,-0.5,0.0
g63,F814W,0.683,6.2,0.479,8.6,-8.6,307.3,0.0,0.157,4.529,0.0,9.514,0.0,3.785,0.075,1.78,-0.42,0.01
g23,F814W,0.687,6.23,0.478,13.6,1.4,199.3,5.5,0.066,1.158,0.077,10.76,0.0,2.132,0.217,0.37,0.5,0.0
g23,F814W,0.687,6.23,0.478,16.3,0.7,126.4,5.9,0.082,2.007,0.321,11.344,0.616,2.86,0.361,0.77,0.43,0.44
g148,F814W,0.69,6.25,0.477,5.3,-1.2,570.9,3.8,0.085,1.903,0.138,13.524,0.323,3.701,0.215,1.64,0.5,0.11
g148,F814W,0.69,6.25,0.477,8.2,11.9,185.2,6.8,0.067,1.527,0.106,5.427,0.19,36.154,0.0,1.35,-0.44,0.07
g18,F814W,0.69,6.25,0.477,18.7,-11.1,225.6,5.2,0.133,2.004,0.077,12.172,0.328,5.075,0.189,12.47,0.31,0.04
g18,F814W,0.69,6.25,0.477,9.6,-4.8,267.1,1.8,0.139,3.884,0.082,9.775,0.178,3.006,0.096,0.37,0.18,0.07
g175,F814W,0.694,6.27,0.476,18.2,-3.9,200.7,3.4,0.158,2.165,0.097,14.812,0.328,6.863,0.426,0.47,-0.26,0.12
g175,F814W,0.694,6.27,0.476,12.3,-40.4,147.2,2.3,0.1,4.499,0.0,6.78,0.0,1.948,0.087,1.3,-0.49,0.08
g175,F814W,0.694,6.27,0.476,29.5,7.6,125.6,1.7,0.095,1.534,0.114,16.541,0.409,11.96,1.341,1.13,0.15,0.26
g168,F814W,0.703,6.32,0.473,13.3,-0.3,224.9,4.1,0.163,1.93,0.066,10.646,0.391,15.542,3.834,0.37,0.25,0.04
g168,F814W,0.703,6.32,0.473,11.2,-12.9,301.8,4.7,0.109,2.18,0.18,9.205,0.539,8.658,0.95,1.22,-0.5,0.0
g170,F814W,0.705,6.33,0.473,11.6,-3.1,268.6,0.9,0.205,2.571,0.107,16.799,0.233,15.632,0.78,2.48,-0.17,0.04
g170,F814W,0.705,6.33,0.473,26.2,-13.7,254.6,5.5,0.063,3.413,0.163,11.639,0.455,5.83,0.266,0.37,-0.34,0.08
g170,F814W,0.705,6.33,0.473,32.7,-39.4,119.3,1.7,0.094,4.654,0.0,10.557,0.0,7.828,0.497,0.9,0.5,0.0
g170,F814W,0.705,6.33,0.473,41.6,-53.8,212.6,11.5,0.124,3.351,0.256,19.067,0.0,55.282,0.0,0.46,-0.06,0.09
g144,F814W,0.708,6.35,0.472,15.5,17.1,178.9,1.9,0.077,1.635,0.1,10.571,0.0,3.673,0.241,1.21,0.5,0.0
g144,F814W,0.708,6.35,0.472,20.5,9.8,203.5,2.4,0.089,1.658,0.07,15.529,0.0,4.968,0.275,20.09,-0.09,0.1
g171,F814W,0.708,6.35,0.472,29.0,-23.2,105.6,1.8,0.073,3.478,0.0,14.156,0.513,3.241,0.124,0.45,-0.32,0.09
g171,F814W,0.708,6.35,0.472,11.6,13.9,179.4,7.4,0.03,0.928,0.088,12.275,0.279,5.366,0.764,19.16,0.5,0.0
g171,F814W,0.708,6.35,0.472,17.2,-4.5,258.0,2.7,0.103,1.303,0.137,12.797,0.302,5.196,0.212,4.01,-0.17,0.17
g171,F814W,0.708,6.35,0.472,22.3,-7.7,194.1,2.1,0.16,2.302,0.117,15.66,0.284,10.317,0.769,0.56,-0.11,0.11
g69,F814W,0.725,6.44,0.467,22.5,-26.5,89.0,2.5,0.038,2.665,0.374,15.825,0.0,2.621,0.19,8.65,0.5,0.21
g69,F814W,0.725,6.44,0.467,14.8,1.0,246.5,6.1,0.037,0.954,0.2,11.259,1.073,13.466,6.716,1.12,0.34,0.24
g69,F814W,0.725,6.44,0.467,10.3,-7.2,209.5,5.0,0.031,0.861,0.093,8.493,0.326,4.82,1.277,1.54,0.5,0.0
g69,F814W,0.725,6.44,0.467,14.7,2.3,293.5,4.9,0.134,2.279,0.134,25.209,0.0,8.898,0.413,8.88,-0.16,0.05
g50,F814W,0.733,6.48,0.465,14.4,-23.7,59.9,2.8,0.027,2.61,0.353,16.082,0.942,4.441,1.431,1.38,0.03,0.46
g50,F814W,0.733,6.48,0.465,14.4,3.9,116.4,3.0,0.039,1.69,0.209,11.409,0.716,3.959,1.405,3.66,-0.03,0.37
g50,F814W,0.733,6.48,0.465,26.3,8.6,126.5,7.6,0.037,1.587,0.196,14.622,1.539,3.864,0.431,1.58,0.03,0.39
g50,F814W,0.733,6.48,0.465,11.5,7.3,216.1,8.0,0.071,2.208,0.289,13.244,0.791,4.005,0.444,1.76,0.11,0.35
g141,F814W,0.734,6.49,0.465,9.6,-10.3,233.8,3.3,0.129,1.31,0.097,5.362,0.0,1.859,0.124,20.09,-0.02,0.09
g141,F814W,0.734,6.49,0.465,11.9,3.1,312.1,4.5,0.112,1.288,0.111,8.574,0.227,11.284,3.998,0.66,-0.5,0.0
g111,F814W,0.762,6.63,0.457,13.2,-4.1,319.1,8.1,0.134,2.032,0.137,12.451,0.482,3.626,0.134,1.25,0.13,0.34
g111,F814W,0.762,6.63,0.457,11.9,2.9,263.9,5.5,0.084,1.66,0.195,13.109,0.919,3.36,0.491,6.13,0.1,0.34
g174,F814W,0.774,6.7,0.454,13.2,1.2,332.4,4.4,0.186,2.577,0.292,14.94,0.0,8.062,0.845,0.61,-0.47,0.07
g174,F814W,0.774,6.7,0.454,20.8,1.8,315.3,16.0,0.126,2.252,0.116,15.948,0.0,17.036,5.201,0.8,0.5,0.0
g29,F814W,0.801,6.83,0.448,19.1,-18.2,172.5,4.4,0.14,1.584,0.118,11.617,0.303,18.667,9.189,0.72,-0.09,0.1
g29,F814W,0.801,6.83,0.448,14.9,-3.5,271.0,8.4,0.104,0.974,0.205,9.769,0.189,24.84,26.027,2.54,-0.04,0.24
g29,F814W,0.801,6.83,0.448,15.8,8.5,209.6,6.6,0.107,3.879,0.0,13.348,0.0,4.717,0.563,7.69,-0.37,0.16
g128,F814W,0.839,7.02,0.438,14.3,-16.7,215.1,2.3,0.221,3.2,0.157,12.67,0.231,9.047,0.376,0.79,0.24,0.06
g128,F814W,0.839,7.02,0.438,14.2,-6.0,238.1,2.2,0.184,1.404,0.04,14.949,0.182,3.664,0.11,3.96,0.11,0.03
g65,F814W,0.84,7.02,0.438,12.3,-3.7,274.5,7.4,0.086,0.684,0.098,13.42,0.234,13.085,3.669,6.12,0.42,0.2
g65,F814W,0.84,7.02,0.438,18.7,7.8,237.1,4.2,0.101,1.792,0.087,17.57,0.0,16.037,4.036,0.94,0.5,0.0
g65,F814W,0.84,7.02,0.438,20.6,-26.4,151.2,4.3,0.043,1.571,0.15,13.321,0.797,18.633,5.275,2.55,0.04,0.11
g182,F814W,0.842,7.03,0.438,21.5,3.0,182.4,2.2,0.186,2.78,0.104,10.809,0.586,2.918,0.088,6.06,-0.5,0.0
g182,F814W,0.842,7.03,0.438,13.0,-0.3,206.4,1.7,0.238,3.054,0.097,9.294,0.257,3.276,0.167,1.49,-0.38,0.05
g89,F814W,0.843,7.04,0.437,15.6,5.1,326.2,2.2,0.211,4.165,0.239,9.82,0.227,29.39,5.946,0.71,-0.5,0.0
g89,F814W,0.843,7.04,0.437,16.0,4.3,299.6,5.1,0.148,2.395,0.166,8.622,0.0,32.307,17.746,0.71,-0.5,0.0
g21,F814W,0.844,7.04,0.437,23.9,-33.0,216.5,5.4,0.07,1.402,0.121,7.51,0.217,3.381,0.172,5.29,-0.42,0.15
g21,F814W,0.844,7.04,0.437,14.9,-28.2,135.3,2.6,0.068,1.655,0.159,8.292,0.381,2.549,0.222,2.68,-0.01,0.12
g73,F814W,0.85,7.07,0.436,26.3,-38.3,161.2,6.6,0.08,2.54,0.311,10.618,0.991,2.895,0.199,0.85,-0.5,0.0
g73,F814W,0.85,7.07,0.436,10.3,-16.6,194.7,4.1,0.219,4.396,0.0,12.064,0.298,5.303,0.455,0.37,-0.5,0.0
g14,F814W,0.897,7.28,0.425,20.5,-12.1,197.1,5.0,0.049,1.377,0.13,15.64,0.96,5.501,0.553,6.06,0.5,0.0
g14,F814W,0.897,7.28,0.425,17.0,1.1,211.4,6.2,0.028,0.81,0.149,7.844,0.479,4.66,1.201,1.9,0.23,0.21
g14,F814W,0.897,7.28,0.425,14.3,1.1,421.5,0.0,0.111,1.677,0.228,12.491,0.381,19.573,5.594,4.53,0.34,0.27
g120,F814W,0.917,7.37,0.42,16.3,-1.1,179.1,7.2,0.118,3.468,0.0,10.335,1.392,9.763,5.434,20.09,-0.42,0.1
g120,F814W,0.917,7.37,0.42,24.5,-21.6,184.8,9.0,0.139,1.907,0.251,12.418,0.0,2.676,0.14,1.63,-0.5,0.0
g120,F814W,0.917,7.37,0.42,15.8,-18.3,251.4,2.0,0.162,2.08,0.126,5.798,0.0,2.958,0.177,3.42,-0.42,0.05
g9,F814W,0.93,7.42,0.418,31.2,-34.5,174.0,4.9,0.086,2.107,0.191,12.734,0.407,22.091,5.461,1.28,-0.15,0.2
g9,F814W,0.93,7.42,0.418,15.0,-9.4,233.2,4.8,0.115,2.687,0.101,11.529,0.426,9.481,1.2,1.47,-0.14,0.14
g9,F814W,0.93,7.42,0.418,15.3,5.2,163.2,24.4,0.038,0.882,0.121,10.724,0.457,11.858,6.105,20.09,0.5,0.0
g74,F814W,0.94,7.47,0.416,20.9,-9.1,249.1,5.2,0.091,1.236,0.098,17.796,0.271,52.438,0.0,2.32,0.26,0.08
g74,F814W,0.94,7.47,0.416,13.3,1.8,283.3,4.0,0.092,1.905,0.11,13.092,0.0,52.438,0.0,1.22,0.5,0.0
g74,F814W,0.94,7.47,0.416,19.2,-18.0,177.0,3.5,0.094,2.462,0.134,14.434,0.665,3.993,0.374,2.89,0.04,0.08
g15,F814W,0.982,7.64,0.407,5.2,-7.4,220.7,26.0,0.078,0.788,0.205,6.679,0.786,2.682,1.919,8.45,0.41,0.23
g15,F814W,0.982,7.64,0.407,12.8,-19.1,149.3,11.0,0.072,0.908,0.183,3.718,0.449,2.542,1.451,0.37,0.24,1.09
g81,F814W,0.99,7.68,0.405,23.5,-8.8,301.2,2.1,0.233,2.696,0.0,11.785,0.231,8.857,0.512,1.0,-0.5,0.0
g81,F814W,0.99,7.68,0.405,13.8,-3.4,382.8,3.0,0.177,1.794,0.098,12.841,0.713,2.722,0.051,1.0,-0.13,0.14
g146,F814W,1.008,7.75,0.401,21.7,-11.2,223.4,7.5,0.126,0.966,0.079,4.842,0.256,4.979,1.139,1.53,0.37,0.14
g146,F814W,1.008,7.75,0.401,21.1,0.8,247.1,3.0,0.15,1.263,0.149,5.395,0.0,4.13,1.297,1.48,0.5,0.0
g99,F814W,1.017,7.78,0.4,24.6,3.3,185.0,4.4,0.118,1.765,0.172,13.893,0.0,4.683,0.385,1.15,0.08,0.3
g99,F814W,1.017,7.78,0.4,22.2,-28.3,201.4,9.2,0.152,2.665,0.223,10.212,0.619,38.423,0.0,0.61,-0.43,0.06
EGS27976,F115W,1.05,7.91,0.563,30.9,6.0,130.2,2.3,0.056,1.332,0.052,4.61,0.0,12.566,3.396,14.91,0.0,0.0
EGS27976,F115W,1.05,7.91,0.563,10.8,-56.4,129.4,0.9,0.258,2.437,0.0,5.745,0.111,24.813,0.0,0.37,-0.36,0.01
EGS27976,F115W,1.05,7.91,0.563,24.2,10.9,195.6,1.4,0.096,1.572,0.031,11.162,0.0,5.345,0.18,2.43,-0.07,0.03
EGS27976,F150W,1.05,7.91,0.732,33.8,-32.7,105.7,1.6,0.054,1.87,0.0,4.576,0.0,5.728,0.593,10.49,0.0,0.0
EGS27976,F150W,1.05,7.91,0.732,7.9,-36.8,127.2,0.8,0.234,2.228,0.0,6.519,0.085,13.349,1.952,0.37,-0.45,0.01
EGS27976,F150W,1.05,7.91,0.732,25.2,7.9,206.1,1.3,0.093,1.46,0.032,10.749,0.0,4.066,0.093,3.33,0.13,0.03
EGS27976,F200W,1.05,7.91,0.971,34.6,-52.5,96.6,1.1,0.052,1.939,0.0,4.81,0.0,2.519,0.114,14.31,0.0,0.0
EGS27976,F200W,1.05,7.91,0.971,14.2,-39.9,160.7,1.4,0.235,2.284,0.0,6.488,0.094,19.579,3.365,0.37,-0.28,0.01
EGS27976,F200W,1.05,7.91,0.971,26.9,8.4,230.7,2.5,0.086,1.391,0.033,11.529,0.0,9.205,0.538,2.98,0.06,0.04
EGS27976,F277W,1.05,7.91,1.359,32.1,-41.8,85.9,1.5,0.033,1.789,0.0,4.392,0.0,2.558,0.191,9.98,0.0,0.0
EGS27976,F277W,1.05,7.91,1.359,9.4,-51.7,123.2,0.6,0.208,2.084,0.0,6.052,0.087,21.129,0.0,0.37,-0.25,0.01
EGS27976,F277W,1.05,7.91,1.359,23.3,7.0,196.6,1.5,0.071,1.487,0.029,10.892,0.0,4.601,0.138,2.11,-0.17,0.03
EGS27976,F356W,1.05,7.91,1.738,32.5,-61.7,101.8,2.0,0.041,1.704,0.0,4.299,0.242,2.852,0.347,15.9,0.0,0.0
EGS27976,F356W,1.05,7.91,1.738,10.2,-45.0,135.7,0.6,0.214,1.988,0.0,5.778,0.088,20.199,0.0,0.37,-0.24,0.01
EGS27976,F356W,1.05,7.91,1.738,26.2,13.7,194.9,1.4,0.074,1.436,0.029,12.743,0.0,4.41,0.115,2.87,0.04,0.03
EGS27976,F410M,1.05,7.91,1.996,22.1,1.9,97.6,1.6,0.051,2.093,0.0,4.326,0.0,2.812,0.388,13.11,0.0,0.0
EGS27976,F410M,1.05,7.91,1.996,3.2,-44.2,108.9,0.4,0.224,2.255,0.0,6.303,0.083,10.272,0.9,0.37,-0.28,0.01
EGS27976,F410M,1.05,7.91,1.996,21.0,11.6,179.0,1.1,0.075,1.592,0.036,10.839,0.0,3.759,0.115,1.97,-0.21,0.03
EGS27976,F444W,1.05,7.91,2.157,29.0,-84.8,96.9,2.3,0.042,1.834,0.0,3.599,0.18,1.658,0.133,16.29,0.0,0.0
EGS27976,F444W,1.05,7.91,2.157,5.7,-38.9,131.3,0.7,0.22,2.086,0.0,5.532,0.092,16.255,2.998,0.37,-0.29,0.01
EGS27976,F444W,1.05,7.91,2.157,25.3,17.4,190.1,1.3,0.069,1.337,0.039,12.954,0.0,5.845,0.306,2.65,-0.02,0.04
EGS31720,F115W,1.066,7.97,0.559,11.1,16.1,179.4,1.7,0.164,2.399,0.03,8.484,0.18,24.812,0.0,1.0,-0.5,0.0
EGS31720,F115W,1.066,7.97,0.559,8.2,19.0,200.8,2.0,0.197,2.456,0.0,6.914,0.146,5.135,0.122,0.37,-0.5,0.0
EGS31720,F150W,1.066,7.97,0.726,13.8,0.8,185.6,1.4,0.163,2.361,0.0,7.714,0.247,4.048,0.169,1.0,-0.49,0.01
EGS31720,F150W,1.066,7.97,0.726,9.5,15.7,192.1,1.5,0.154,2.398,0.0,6.179,0.152,4.009,0.093,0.37,-0.5,0.0
EGS31720,F200W,1.066,7.97,0.963,14.5,17.5,178.9,0.9,0.167,2.242,0.0,8.267,0.0,8.855,0.433,1.0,-0.39,0.01
EGS31720,F200W,1.066,7.97,0.963,9.3,16.9,193.4,1.2,0.164,2.286,0.0,5.935,0.141,4.025,0.067,0.37,-0.5,0.0
EGS31720,F277W,1.066,7.97,1.348,15.7,-11.2,166.7,0.9,0.171,2.026,0.0,5.151,0.0,3.846,0.112,1.0,-0.07,0.02
EGS31720,F277W,1.066,7.97,1.348,10.3,17.4,197.5,1.3,0.17,2.07,0.0,5.991,0.125,3.257,0.046,0.37,-0.25,0.03
EGS31720,F356W,1.066,7.97,1.725,14.6,-13.9,157.4,0.8,0.171,1.946,0.0,5.204,0.0,3.535,0.092,1.0,-0.42,0.01
EGS31720,F356W,1.066,7.97,1.725,11.3,17.2,198.8,1.3,0.169,1.972,0.0,6.149,0.131,3.43,0.054,0.37,-0.26,0.03
EGS31720,F410M,1.066,7.97,1.981,16.5,14.7,167.4,1.1,0.183,1.931,0.0,8.484,0.0,7.762,0.53,1.0,-0.32,0.03
EGS31720,F410M,1.066,7.97,1.981,11.1,15.0,213.2,1.5,0.193,1.977,0.0,5.888,0.183,6.259,0.218,0.37,-0.23,0.04
EGS31720,F444W,1.066,7.97,2.14,18.9,-8.6,159.9,1.4,0.179,1.898,0.0,6.64,0.194,6.444,0.344,1.0,-0.39,0.03
